物件名,住所,最寄り駅,築年数,価格,間取り,面積,バルコニーの広さ,都県,市区,築年月数,価格(万円),不動産単価（万／坪）,路線,駅名,緯度,経度
品川イーストシティタワー,東京都品川区東品川５,東京モノレール「天王洲アイル」徒歩5分,2018年7月,142800000.0,2LDK,67.44,16.52,東京,品川,89,14280.0,699,東京モノレール,天王洲アイル,35.6211959,139.7562635
シティタワーズ豊洲ザ・シンボル,東京都江東区豊洲３,東京メトロ有楽町線「豊洲」徒歩6分,2009年12月,143000000.0,3LDK,70.42,5.68,東京,江東,192,14300.0,670,東京メトロ有楽町線,豊洲,35.6585681,139.7965242
パークコート神宮北参道ザタワー,東京都渋谷区千駄ヶ谷４,東京メトロ副都心線「北参道」徒歩1分,2023年1月,143000000.0,1LDK,40.66,6.2,東京,渋谷,35,14300.0,1161,東京メトロ副都心線,北参道,35.6791468,139.709008
ブリリア有明スカイタワー/32階/北西向き/68.2…,東京都江東区有明１,新交通ゆりかもめ「有明テニスの森」徒歩6分,2010年12月,143000000.0,3LDK,68.28,11.87,東京,江東,180,14300.0,691,新交通ゆりかもめ,有明テニスの森,35.6403728,139.7869359
シティタワー新宿新都心,東京都新宿区西新宿４-2-15,都営大江戸線「西新宿五丁目」徒歩5分,2005年2月,143000000.0,2LDK,64.1,8.46,東京,新宿,250,14300.0,736,都営大江戸線,西新宿五丁目,35.690235,139.6861123
シティタワーズ豊洲ザ・ツインサウス,東京都江東区豊洲３,東京メトロ有楽町線「豊洲」徒歩4分,2009年2月,143500000.0,2LDK,71.17,5.68,東京,江東,202,14350.0,665,東京メトロ有楽町線,豊洲,35.6585681,139.7965242
HARUMI FLAG PARK VILLAGE T…,東京都中央区晴海５,都営大江戸線「勝どき」徒歩14分,2025年9月,143800000.0,2LDK,56.41,13.1,東京,中央,3,14380.0,841,都営大江戸線,勝どき,35.6490356,139.7741538
白金ザ・スカイ　9階,東京都港区白金１,東京メトロ南北線「白金高輪」徒歩3分,2023年2月,144000000.0,1LDK,39.54,0.0,東京,港,34,14400.0,1202,東京メトロ南北線,白金高輪,35.6449583,139.7339083
グランドミレーニア,東京都豊島区南池袋１,ＪＲ山手線「池袋」徒歩4分,2015年2月,144000000.0,2LDK,54.84,5.13,東京,豊島,130,14400.0,867,ＪＲ山手線,池袋,35.7275147,139.7109231
HARUMI FLAG SUN VILLAGE T棟,東京都中央区晴海５,都営大江戸線「勝どき」徒歩14分,2025年8月,144800000.0,2LDK,65.3,15.12,東京,中央,4,14480.0,732,都営大江戸線,勝どき,35.6490356,139.7741538
ザ・晴海レジデンス,東京都中央区晴海５,都営大江戸線「勝どき」徒歩11分,2009年3月,144800000.0,2LDK,68.42,11.78,東京,中央,201,14480.0,698,都営大江戸線,勝どき,35.6490356,139.7741538
ゲートシティ大崎サウスパークタワー,東京都品川区大崎１,ＪＲ山手線「大崎」徒歩6分,1998年12月,144800000.0,2LDK,76.82,35.5,東京,品川,324,14480.0,622,ＪＲ山手線,大崎,35.6193109,139.7300768
ＨＡＲＵＭＩ　ＦＬＡＧ　ＳＵＮ　ＶＩＬＬＡＧＥ　Ｔ棟,東京都中央区晴海５,都営大江戸線「勝どき」徒歩14分,2025年8月,144800000.0,2LDK,65.3,15.12,東京,中央,4,14480.0,732,都営大江戸線,勝どき,35.6490356,139.7741538
Ｔｈｅ　Ｐａｒｋ　Ｈｏｕｓｅ　西新宿タワー６０,東京都新宿区西新宿５-5-1,都営大江戸線「西新宿五丁目」徒歩7分,2017年8月,145000000.0,2LDK,57.94,9.95,東京,新宿,100,14500.0,826,都営大江戸線,西新宿五丁目,35.6918758,139.7100852
ザ・タワー十条,東京都北区上十条２,ＪＲ埼京線「十条」徒歩1分,2024年10月,145000000.0,3LDK,77.49,14.96,東京,北,14,14500.0,617,ＪＲ埼京線,十条,35.7591353,139.7211376
Ｔｈｅ　Ｐａｒｋ　Ｈｏｕｓｅ　西新宿タワー６０,東京都新宿区西新宿５,都営大江戸線「西新宿五丁目」徒歩7分,2017年8月,145000000.0,2LDK,57.94,9.95,東京,新宿,100,14500.0,826,都営大江戸線,西新宿五丁目,35.6948318,139.6866706
パークタワー勝どきミッド,東京都中央区勝どき４,都営大江戸線「勝どき」徒歩1分,2023年8月,145000000.0,1LDK,50.01,5.88,東京,中央,28,14500.0,957,都営大江戸線,勝どき,35.6572676,139.7760709
ザ・パークハウス西新宿タワー60,東京都新宿区西新宿５-5-1,都営大江戸線「西新宿五丁目」徒歩7分,2017年7月,145000000.0,2LDK,57.94,15.0,東京,新宿,101,14500.0,826,都営大江戸線,西新宿五丁目,35.6918758,139.7100852
The Park House 西新宿タワー60,東京都新宿区西新宿５,都営大江戸線「西新宿五丁目」徒歩7分,2017年8月,145000000.0,2LDK,57.94,9.95,東京,新宿,100,14500.0,826,都営大江戸線,西新宿五丁目,35.6948318,139.6866706
TheParkHouse西新宿タワー60,東京都新宿区西新宿５,都営大江戸線「西新宿五丁目」徒歩9分,2017年8月,145000000.0,2LDK,57.94,9.95,東京,新宿,100,14500.0,826,都営大江戸線,西新宿五丁目,35.6948318,139.6866706
ザ・パークハウス晴海タワーズクロノレジデンス,東京都中央区晴海２,都営大江戸線「勝どき」徒歩12分,2013年10月,145000000.0,2LDK,66.95,11.73,東京,中央,146,14500.0,715,都営大江戸線,勝どき,35.6564518,139.7869359
パークタワー勝どきミッド,東京都中央区勝どき４,都営大江戸線「勝どき」徒歩1分,2023年8月,145000000.0,1LDK,50.01,5.88,東京,中央,28,14500.0,957,都営大江戸線,勝どき,35.6572676,139.7760709
パークタワー勝どきミッド,東京都中央区勝どき４,都営大江戸線「勝どき」徒歩1分,2023年8月,145000000.0,1LDK,50.01,0.0,東京,中央,28,14500.0,957,都営大江戸線,勝どき,35.6572676,139.7760709
パークタワー勝どきミッド,東京都中央区勝どき４,都営大江戸線「勝どき」徒歩1分,2023年8月,145000000.0,1LDK,50.01,5.88,東京,中央,28,14500.0,957,都営大江戸線,勝どき,35.6572676,139.7760709
芝浦アイランドグローブタワー,東京都港区芝浦４,ＪＲ山手線「田町」徒歩8分,2006年11月,145000000.0,2LDK,64.07,12.2,東京,港,229,14500.0,747,ＪＲ山手線,田町,35.6400662,139.7460429
ザ・パークハウス西新宿タワー60,東京都新宿区西新宿５,都営大江戸線「西新宿五丁目」徒歩7分,2017年8月,145000000.0,2LDK,57.94,9.95,東京,新宿,100,14500.0,826,都営大江戸線,西新宿五丁目,35.6948318,139.6866706
パークタワー勝どきミッド,東京都中央区勝どき４,都営大江戸線「勝どき」徒歩1分,2023年8月,145000000.0,1LDK,50.01,5.88,東京,中央,28,14500.0,957,都営大江戸線,勝どき,35.6572676,139.7760709
芝浦アイランドグローヴタワー,東京都港区芝浦４,ＪＲ山手線「田町」徒歩8分,2007年3月,145000000.0,2LDK,64.07,12.2,東京,港,225,14500.0,747,ＪＲ山手線,田町,35.6400662,139.7460429
ザ・タワー十条,東京都北区上十条２,ＪＲ埼京線「十条」徒歩1分,2024年10月,145000000.0,3LDK,77.49,14.96,東京,北,14,14500.0,617,ＪＲ埼京線,十条,35.7591353,139.7211376
パークタワー勝どきミッド,東京都中央区勝どき４-6-2,都営大江戸線「勝どき」徒歩1分,2023年8月,145000000.0,1LDK,50.01,5.88,東京,中央,28,14500.0,957,都営大江戸線,勝どき,35.6568843,139.7773367
パークタワー勝どきミッド,東京都中央区勝どき４,都営大江戸線「勝どき」徒歩1分,2023年8月,145000000.0,1LDK,50.01,5.88,東京,中央,28,14500.0,957,都営大江戸線,勝どき,35.6572676,139.7760709
東京レジデンス,東京都千代田区飯田橋２,東京メトロ半蔵門線「九段下」徒歩4分,2003年2月,145800000.0,1LDK+S（納戸）,51.61,11.7,東京,千代田,274,14580.0,932,東京メトロ半蔵門線,九段下,35.6990911,139.7508336
パークタワー晴海,東京都中央区晴海２,東京メトロ有楽町線「月島」徒歩12分,2019年2月,145800000.0,3LDK,73.56,16.4,東京,中央,82,14580.0,654,東京メトロ有楽町線,月島,35.6564518,139.7869359
パークホームズ豊洲ザレジデンス,東京都江東区豊洲５,東京メトロ有楽町線「豊洲」徒歩5分,2016年10月,145900000.0,2LDK,64.87,10.53,東京,江東,110,14590.0,742,東京メトロ有楽町線,豊洲,35.6505285,139.7965242
マートルコート恵比寿2000,東京都渋谷区恵比寿１-30-14,ＪＲ山手線「恵比寿」徒歩8分,2000年5月,146000000.0,1LDK,55.97,7.77,東京,渋谷,307,14600.0,861,ＪＲ山手線,恵比寿,35.6473527,139.7169135
勝どきザ・タワー,東京都中央区勝どき５,都営大江戸線「勝どき」徒歩7分,2016年11月,146000000.0,2LDK,17.62,9.79,東京,中央,109,14600.0,2734,都営大江戸線,勝どき,35.657516,139.7709587
ＨＡＲＵＭＩ　ＦＬＡＧ　ＰＡＲＫ　ＶＩＬＬＡＧＥ　Ｔ…,東京都中央区晴海５,都営大江戸線「勝どき」徒歩15分,2025年8月,146800000.0,2LDK,66.31,16.84,東京,中央,4,14680.0,731,都営大江戸線,勝どき,35.6490356,139.7741538
HARUMI FLAG PARK VILLAGE T…,東京都中央区晴海５,都営大江戸線「勝どき」徒歩15分,2025年8月,146800000.0,2LDK,66.31,16.84,東京,中央,4,14680.0,731,都営大江戸線,勝どき,35.6490356,139.7741538
芝浦アイランドケープタワー,東京都港区芝浦４,ＪＲ山手線「田町」徒歩12分,2006年10月,147000000.0,2LDK,64.26,11.94,東京,港,230,14700.0,755,ＪＲ山手線,田町,35.6400662,139.7460429
シティタワー銀座東,東京都中央区湊２,ＪＲ京葉線「八丁堀」徒歩5分,2019年1月,147900000.0,2LDK,55.9,5.68,東京,中央,83,14790.0,873,ＪＲ京葉線,八丁堀,35.6709568,139.780864
芝浦アイランドケープタワー,東京都港区芝浦４,ＪＲ山手線「田町」徒歩12分,2006年10月,148000000.0,2LDK,64.26,11.91,東京,港,230,14800.0,760,ＪＲ山手線,田町,35.6400662,139.7460429
大崎ウエストシティタワーズＷ棟,東京都品川区大崎２,ＪＲ山手線「大崎」徒歩4分,2009年9月,148000000.0,2LDK,60.59,4.5,東京,品川,195,14800.0,806,ＪＲ山手線,大崎,35.6177742,139.7262455
シティタワーズ東京ベイセントラルタワー,東京都江東区有明２,新交通ゆりかもめ「有明」徒歩4分,2019年7月,148000000.0,2LDK,54.24,14.61,東京,江東,77,14800.0,900,新交通ゆりかもめ,有明,35.6388488,139.7946064
芝浦アイランドケープタワー,東京都港区芝浦４,ＪＲ山手線「田町」徒歩12分,2006年10月,148000000.0,2LDK,64.26,11.91,東京,港,230,14800.0,760,ＪＲ山手線,田町,35.6400662,139.7460429
芝浦アイランドケープタワー　43F,東京都港区芝浦４,ＪＲ山手線「田町」徒歩12分,2006年10月,148000000.0,2LDK,64.26,11.91,東京,港,230,14800.0,760,ＪＲ山手線,田町,35.6400662,139.7460429
芝浦アイランドケープタワー,東京都港区芝浦４,ＪＲ山手線「田町」徒歩12分,2006年10月,148000000.0,2LDK,64.26,11.94,東京,港,230,14800.0,760,ＪＲ山手線,田町,35.6400662,139.7460429
芝浦アイランドケープタワー　43階,東京都港区芝浦４-19-1,ＪＲ京浜東北線「田町」徒歩12分,2006年10月,148000000.0,2LDK,64.26,11.94,東京,港,230,14800.0,760,ＪＲ京浜東北線,田町,35.6371197,139.7502277
ブリリアタワーズ目黒　ノースレジデンス,東京都品川区上大崎３,ＪＲ山手線「目黒」徒歩2分,2017年9月,148000000.0,1LDK,40.13,5.32,東京,品川,99,14800.0,1217,ＪＲ山手線,目黒,35.631922,139.7185838
芝浦アイランドケープタワー,東京都港区芝浦４,ＪＲ山手線「田町」徒歩12分,2006年10月,148000000.0,2LDK,64.26,11.94,東京,港,230,14800.0,760,ＪＲ山手線,田町,35.6400662,139.7460429
シティタワー上野池之端,東京都台東区池之端２,東京メトロ千代田線「根津」徒歩5分,2013年2月,148000000.0,2LDK,55.95,6.0,東京,台東,154,14800.0,873,東京メトロ千代田線,根津,35.7145177,139.7671248
ザ・パークハウス西新宿タワー６０,東京都新宿区西新宿５,都営大江戸線「西新宿五丁目」徒歩7分,2017年8月,148000000.0,2LDK,57.94,9.95,東京,新宿,100,14800.0,843,都営大江戸線,西新宿五丁目,35.6948318,139.6866706
THE　TOYOSU　TOWER,東京都江東区豊洲３-６,東京メトロ有楽町線「豊洲」徒歩6分,2008年10月,148000000.0,2LDK,70.86,14.22,東京,江東,206,14800.0,689,東京メトロ有楽町線,豊洲,35.657649,139.797675
アーバンドック　パークシティ豊洲　タワーＡ,東京都江東区豊洲２,東京メトロ有楽町線「豊洲」徒歩6分,2008年2月,148000000.0,3LDK,70.55,17.6,東京,江東,214,14800.0,692,東京メトロ有楽町線,豊洲,35.6553723,139.7914102
ブリリア有明シティタワー,東京都江東区有明１,新交通ゆりかもめ「有明テニスの森」徒歩9分,2014年12月,148000000.0,3LDK,70.63,15.0,東京,江東,132,14800.0,691,新交通ゆりかもめ,有明テニスの森,35.6403728,139.7869359
シティタワー上野池之端,東京都台東区池之端１,東京メトロ千代田線「湯島」徒歩5分,2013年2月,148000000.0,2LDK,55.95,6.0,東京,台東,154,14800.0,873,東京メトロ千代田線,湯島,35.7097691,139.7674443
シティタワーズ東京ベイ　セントラルタワー,東京都江東区有明２,新交通ゆりかもめ「有明」徒歩4分,2019年7月,148000000.0,2LDK,54.24,14.61,東京,江東,77,14800.0,900,新交通ゆりかもめ,有明,35.6388488,139.7946064
パークコート渋谷ザ・タワー,東京都渋谷区宇田川町,ＪＲ山手線「渋谷」徒歩10分,2020年7月,148000000.0,1LDK,40.9,7.86,東京,渋谷,65,14800.0,1194,ＪＲ山手線,渋谷,35.661594,139.6981574
シティタワーズ東京ベイ  セントラルタワー,東京都江東区有明２,新交通ゆりかもめ「有明」徒歩5分,2019年7月,148000000.0,2LDK,54.24,14.61,東京,江東,77,14800.0,900,新交通ゆりかもめ,有明,35.6388488,139.7946064
品川イーストシティタワー,東京都品川区東品川５,東京モノレール「天王洲アイル」徒歩5分,2018年7月,148000000.0,2LDK,67.44,17.14,東京,品川,89,14800.0,724,東京モノレール,天王洲アイル,35.6211959,139.7562635
勝どきビュータワー,東京都中央区勝どき１,都営大江戸線「勝どき」徒歩1分,2010年11月,148000000.0,2LDK,54.68,8.8,東京,中央,181,14800.0,893,都営大江戸線,勝どき,35.6607124,139.7760709
ステーションツインタワーズ糀谷フロント・ウエスト,東京都大田区西糀谷４,京急空港線「糀谷」徒歩3分,2016年12月,148000000.0,3LDK,81.02,32.6,東京,大田,108,14800.0,603,京急空港線,糀谷,35.5549841,139.7300768
シティタワー上野池之端,東京都台東区池之端２,東京メトロ千代田線「根津」徒歩5分,2013年2月,148000000.0,2LDK,55.95,6.0,東京,台東,154,14800.0,873,東京メトロ千代田線,根津,35.7145177,139.7671248
シティタワーズ東京ベイセントラルタワー,東京都江東区有明２,りんかい線「国際展示場」徒歩6分,2019年7月,148000000.0,2LDK,54.24,14.61,東京,江東,77,14800.0,900,りんかい線,国際展示場,35.6388488,139.7946064
エルアージュ小石川,東京都文京区小石川１-17-1,都営三田線「春日」徒歩5分,2000年11月,148800000.0,1LDK,68.51,10.7,東京,文京,301,14880.0,717,都営三田線,春日,35.7141303,139.7512787
エルアージュ小石川,東京都文京区小石川１,都営三田線「春日」徒歩5分,2000年11月,148800000.0,2LDK,65.81,10.7,東京,文京,301,14880.0,746,都営三田線,春日,35.7122246,139.7521112
勝どきザ・タワー,東京都中央区勝どき５,都営大江戸線「勝どき」徒歩7分,2016年11月,148800000.0,1LDK+S（納戸）,58.98,5.91,東京,中央,109,14880.0,833,都営大江戸線,勝どき,35.657516,139.7709587
品川イーストシティタワー,東京都品川区東品川５,東京モノレール「天王洲アイル」徒歩5分,2018年7月,148800000.0,2LDK,67.44,16.52,東京,品川,89,14880.0,728,東京モノレール,天王洲アイル,35.6211959,139.7562635
ラプラースウエスト,東京都品川区西五反田６,都営浅草線「戸越」徒歩6分,2004年9月,148900000.0,3LDK,82.37,12.28,東京,品川,255,14890.0,597,都営浅草線,戸越,35.6217129,139.7160301
パークタワー上野池之端,東京都台東区池之端２,東京メトロ千代田線「湯島」徒歩7分,2010年7月,149000000.0,2LDK,60.64,10.87,東京,台東,185,14900.0,811,東京メトロ千代田線,湯島,35.7145177,139.7671248
パークタワー上野池之端,東京都台東区池之端２,東京メトロ千代田線「湯島」徒歩7分,2010年7月,149000000.0,2LDK,60.64,10.87,東京,台東,185,14900.0,811,東京メトロ千代田線,湯島,35.7145177,139.7671248
パークタワー上野池之端,東京都台東区池之端２,東京メトロ千代田線「湯島」徒歩7分,2010年7月,149000000.0,2LDK,60.64,10.87,東京,台東,185,14900.0,811,東京メトロ千代田線,湯島,35.7145177,139.7671248
ザ・パークハウス西麻布レジデンス,東京都港区西麻布４,東京メトロ日比谷線「広尾」徒歩6分,2014年5月,149000000.0,1LDK,43.19,4.57,東京,港,139,14900.0,1138,東京メトロ日比谷線,広尾,35.6581991,139.7211376
パークタワー上野池之端,東京都台東区池之端２,東京メトロ千代田線「湯島」徒歩7分,2010年7月,149000000.0,2LDK,60.64,10.87,東京,台東,185,14900.0,811,東京メトロ千代田線,湯島,35.7145177,139.7671248
ザ・パークハウス晴海タワーズ　クロノレジデンス,東京都中央区晴海２,都営大江戸線「勝どき」徒歩12分,2013年10月,149000000.0,2LDK,65.51,11.73,東京,中央,146,14900.0,751,都営大江戸線,勝どき,35.6564518,139.7869359
品川イーストシティタワー,東京都品川区東品川５,東京モノレール「天王洲アイル」徒歩5分,2018年7月,149000000.0,2LDK,70.18,25.36,東京,品川,89,14900.0,701,東京モノレール,天王洲アイル,35.6211959,139.7562635
シティタワー大井町,東京都品川区大井１,ＪＲ京浜東北線「大井町」徒歩5分,2019年8月,149000000.0,1LDK,52.28,15.8,東京,品川,76,14900.0,941,ＪＲ京浜東北線,大井町,35.6065548,139.7326311
パークタワー上野池之端,東京都台東区池之端２-1-1,東京メトロ千代田線「湯島」徒歩7分,2010年9月,149000000.0,2LDK,60.64,10.87,東京,台東,183,14900.0,811,東京メトロ千代田線,湯島,35.71269100000001,139.7682031
晴海アイランドトリトンスクエアビュータワー,東京都中央区晴海１-6-1,東京メトロ有楽町線「月島」徒歩6分,1998年2月,149800000.0,3LDK,84.45,14.79,東京,中央,334,14980.0,585,東京メトロ有楽町線,月島,35.6590853,139.7840305
ザ・タワー十条,東京都北区上十条２,ＪＲ埼京線「十条」徒歩1分,2024年10月,149800000.0,2LDK,74.91,15.35,東京,北,14,14980.0,660,ＪＲ埼京線,十条,35.7591353,139.7211376
ザ・クレストタワー,東京都中央区佃２,都営大江戸線「月島」徒歩3分,2004年9月,149800000.0,2LDK,64.01,13.6,東京,中央,255,14980.0,772,都営大江戸線,月島,35.6682531,139.7862967
アーバンドック　パークシティ豊洲　タワーＡ,東京都江東区豊洲２,東京メトロ有楽町線「豊洲」徒歩6分,2008年2月,149800000.0,2LDK,73.46,31.2,東京,江東,214,14980.0,673,東京メトロ有楽町線,豊洲,35.6553723,139.7914102
浅草タワー,東京都台東区西浅草３,つくばエクスプレス「浅草」徒歩5分,2012年2月,149800000.0,2LDK+S（納戸）,65.09,12.19,東京,台東,166,14980.0,759,つくばエクスプレス,浅草,35.7162192,139.7914102
ザ・タワー十条,東京都北区上十条２,ＪＲ埼京線「十条」徒歩1分,2024年10月,149800000.0,2LDK,74.91,15.35,東京,北,14,14980.0,660,ＪＲ埼京線,十条,35.7591353,139.7211376
キャナルファーストタワー,東京都江東区東雲１,東京メトロ有楽町線「辰巳」徒歩9分,2008年1月,149800000.0,2LDK,81.29,20.7,東京,江東,215,14980.0,608,東京メトロ有楽町線,辰巳,35.6465138,139.802278
THE TOKYO TOWERS SEA TOWER,東京都中央区勝どき６,都営大江戸線「勝どき」徒歩8分,2008年1月,149800000.0,2LDK,70.16,12.85,東京,中央,215,14980.0,705,都営大江戸線,勝どき,35.6550953,139.7735148
Ｂｒｉｌｌｉａ　Ｔｏｗｅｒ池袋Ｗｅｓｔ,東京都豊島区池袋３,東京メトロ副都心線「池袋」徒歩5分,2024年1月,149800000.0,2LDK,59.47,14.55,東京,豊島,23,14980.0,831,東京メトロ副都心線,池袋,35.7364147,139.7045399
ソプラタワー,東京都目黒区青葉台３-7-17,東急田園都市線「池尻大橋」徒歩8分,1999年3月,149800000.0,1LDK+S（納戸）,66.54,8.84,東京,目黒,321,14980.0,743,東急田園都市線,池尻大橋,35.6517675,139.6900033
東京レジデンス,東京都千代田区飯田橋２,東京メトロ半蔵門線「九段下」徒歩4分,2003年2月,149800000.0,1LDK,51.13,11.3,東京,千代田,274,14980.0,967,東京メトロ半蔵門線,九段下,35.6990911,139.7508336
パークコート神宮北参道ザタワー,東京都渋谷区千駄ヶ谷４,東京メトロ副都心線「北参道」徒歩1分,2023年2月,149800000.0,1LDK,40.66,6.2,東京,渋谷,34,14980.0,1216,東京メトロ副都心線,北参道,35.6791468,139.709008
大森プロストシティレジデンス,東京都大田区大森北２,ＪＲ京浜東北線「大森」徒歩8分,2005年1月,149800000.0,3LDK,109.65,26.47,東京,大田,251,14980.0,451,ＪＲ京浜東北線,大森,35.5863919,139.7339083
クラッシィタワー東中野,東京都中野区東中野４,都営大江戸線「東中野」徒歩1分,2015年1月,149800000.0,2LDK,60.17,15.32,東京,中野,131,14980.0,822,都営大江戸線,東中野,35.7092259,139.6853944
アウルタワー,東京都豊島区東池袋４,東京メトロ有楽町線「東池袋」徒歩2分,2011年1月,149800000.0,2LDK,57.89,13.7,東京,豊島,179,14980.0,854,東京メトロ有楽町線,東池袋,35.727032,139.7211376
ブリリアタワー有明ミッドクロス,東京都江東区有明１,新交通ゆりかもめ「お台場海浜公園」徒歩9分,2021年6月,149800000.0,2LDK,73.53,22.66,東京,江東,54,14980.0,672,新交通ゆりかもめ,お台場海浜公園,35.6403728,139.7869359
グランドミレーニア,東京都豊島区南池袋１,ＪＲ山手線「池袋」徒歩4分,2015年2月,149800000.0,2LDK,56.13,4.17,東京,豊島,130,14980.0,881,ＪＲ山手線,池袋,35.7275147,139.7109231
シティタワーズ豊洲ザ・シンボル,東京都江東区豊洲３,東京メトロ有楽町線「豊洲」徒歩10分,2009年12月,149800000.0,2LDK,67.17,5.68,東京,江東,192,14980.0,736,東京メトロ有楽町線,豊洲,35.6585681,139.7965242
ワールドシティタワーズ　ブリーズタワー,東京都港区港南４,東京モノレール「天王洲アイル」徒歩9分,2006年10月,149800000.0,1LDK,47.2,5.3,東京,港,230,14980.0,1047,東京モノレール,天王洲アイル,35.6273113,139.7485979
浅草タワー,東京都台東区西浅草３,つくばエクスプレス「浅草」徒歩5分,2012年2月,149900000.0,2LDK+S（納戸）,75.76,13.91,東京,台東,166,14990.0,653,つくばエクスプレス,浅草,35.7162192,139.7914102
シティタワーズ豊洲ザツインノースタワー,東京都江東区豊洲３,東京メトロ有楽町線「豊洲」徒歩5分,2009年2月,149900000.0,2LDK,70.99,5.68,東京,江東,202,14990.0,697,東京メトロ有楽町線,豊洲,35.6585681,139.7965242
浅草タワー,東京都台東区西浅草３,つくばエクスプレス「浅草」徒歩3分,2012年2月,149900000.0,2LDK+S（納戸）,75.76,13.91,東京,台東,166,14990.0,653,つくばエクスプレス,浅草,35.7162192,139.7914102
シティタワー銀座東,東京都中央区湊２,ＪＲ京葉線「八丁堀」徒歩5分,2019年1月,149900000.0,1LDK,45.65,10.36,東京,中央,83,14990.0,1084,ＪＲ京葉線,八丁堀,35.6709568,139.780864
シティタワーズ豊洲ザ・ツイン　ノースタワー,東京都江東区豊洲３,東京メトロ有楽町線「豊洲」徒歩5分,2009年2月,149900000.0,2LDK,70.99,5.68,東京,江東,202,14990.0,697,東京メトロ有楽町線,豊洲,35.6585681,139.7965242
パークタワー滝野川,東京都北区滝野川６-21-1,都営三田線「西巣鴨」徒歩3分,2013年11月,150000000.0,2LDK,68.44,12.94,東京,北,145,15000.0,723,都営三田線,西巣鴨,35.7454154,139.7262689
HARUMI FLAG SUN VILLAGE,東京都中央区晴海５,都営大江戸線「勝どき」徒歩18分,2025年8月,150000000.0,1LDK,49.38,11.27,東京,中央,4,15000.0,1002,都営大江戸線,勝どき,35.6490356,139.7741538
パ一クタワ一滝野川 22階,東京都北区滝野川６,都営三田線「西巣鴨」徒歩3分,2013年11月,150000000.0,2LDK,68.44,12.94,東京,北,145,15000.0,723,都営三田線,西巣鴨,35.7452578,139.7236915
パークタワー滝野川,東京都北区滝野川６,都営三田線「西巣鴨」徒歩3分,2013年11月,150000000.0,2LDK,68.44,12.94,東京,北,145,15000.0,723,都営三田線,西巣鴨,35.7452578,139.7236915
パークタワー滝野川,東京都北区滝野川６-21-1,都営三田線「西巣鴨」徒歩3分,2013年11月,150000000.0,2LDK,68.44,12.94,東京,北,145,15000.0,723,都営三田線,西巣鴨,35.7454154,139.7262689
パークタワー滝野川,東京都北区滝野川６,都営三田線「西巣鴨」徒歩3分,2013年11月,150000000.0,2LDK,68.44,12.94,東京,北,145,15000.0,723,都営三田線,西巣鴨,35.7452578,139.7236915
パークタワー滝野川,東京都北区滝野川６,都営三田線「西巣鴨」徒歩3分,2013年11月,150000000.0,2LDK,68.44,0.0,東京,北,145,15000.0,723,都営三田線,西巣鴨,35.7452578,139.7236915
ブリリアマーレ有明　（BrilliaMare有明）　…,東京都江東区有明１-4-11,新交通ゆりかもめ「有明テニスの森」徒歩5分,2008年10月,150000000.0,3LDK,71.36,12.25,東京,江東,206,15000.0,694,新交通ゆりかもめ,有明テニスの森,35.63575,139.785878
～パークタワー滝野川 ～,東京都北区滝野川６,都営三田線「西巣鴨」徒歩3分,2013年11月,150000000.0,2LDK,68.44,12.94,東京,北,145,15000.0,723,都営三田線,西巣鴨,35.7452578,139.7236915
パークタワー滝野川,東京都北区滝野川６-２１－１,都営三田線「西巣鴨」徒歩3分,2013年11月,150000000.0,2LDK,68.44,12.94,東京,北,145,15000.0,723,都営三田線,西巣鴨,35.7454154,139.7262689
パークタワー滝野川,東京都北区滝野川６,都営三田線「西巣鴨」徒歩3分,2013年11月,150000000.0,2LDK,68.44,12.94,東京,北,145,15000.0,723,都営三田線,西巣鴨,35.7452578,139.7236915
シティタワー有明,東京都江東区有明１,新交通ゆりかもめ「有明テニスの森」徒歩9分,2009年12月,150000000.0,2LDK,84.63,5.97,東京,江東,192,15000.0,585,新交通ゆりかもめ,有明テニスの森,35.6403728,139.7869359
ドゥトゥール　 WEST,東京都中央区晴海３,都営大江戸線「勝どき」徒歩5分,2015年10月,150000000.0,2LDK,57.49,6.1,東京,中央,122,15000.0,861,都営大江戸線,勝どき,35.6548467,139.7786272
ワールドシティタワーズ　キャピタルタワー,東京都港区港南４,ＪＲ山手線「品川」徒歩15分,2006年10月,150000000.0,3LDK+S（納戸）,80.49,5.9,東京,港,230,15000.0,615,ＪＲ山手線,品川,35.6273113,139.7485979
パークタワー滝野川,東京都北区滝野川６,都営三田線「西巣鴨」徒歩3分,2013年11月,150000000.0,2LDK,68.44,12.94,東京,北,145,15000.0,723,都営三田線,西巣鴨,35.7452578,139.7236915
パークタワー滝野川,東京都北区滝野川６,都営三田線「西巣鴨」徒歩3分,2013年11月,150000000.0,2LDK,68.44,12.94,東京,北,145,15000.0,723,都営三田線,西巣鴨,35.7452578,139.7236915
パークタワー滝野川,東京都北区滝野川６,都営三田線「西巣鴨」徒歩5分,2013年11月,150000000.0,2LDK,68.44,12.94,東京,北,145,15000.0,723,都営三田線,西巣鴨,35.7452578,139.7236915
ガレリアグランデ,東京都江東区有明１,新交通ゆりかもめ「有明テニスの森」徒歩10分,2006年2月,150000000.0,2LDK,82.46,11.0,東京,江東,238,15000.0,600,新交通ゆりかもめ,有明テニスの森,35.6403728,139.7869359
