物件名,住所,最寄り駅,築年数,価格,間取り,面積,バルコニーの広さ,都県,市区,築年月数,価格(万円),不動産単価（万／坪）,路線,駅名,緯度,経度
クロスエアタワー,東京都目黒区大橋１,東急田園都市線「池尻大橋」徒歩5分,2013年1月,232000000.0,1LDK+S（納戸）,68.14,14.25,東京,目黒,155,23200.0,1124,東急田園都市線,池尻大橋,35.6510223,139.6882659
クロスエアタワー,東京都目黒区大橋１,東急田園都市線「池尻大橋」徒歩5分,2013年1月,232000000.0,2LDK,68.14,14.25,東京,目黒,155,23200.0,1124,東急田園都市線,池尻大橋,35.6510223,139.6882659
クロスエアタワー,東京都目黒区大橋１,東急田園都市線「池尻大橋」徒歩8分,2012年12月,235000000.0,2LDK,68.41,12.87,東京,目黒,156,23500.0,1134,東急田園都市線,池尻大橋,35.6510223,139.6882659
パークタワーグランスカイ,東京都品川区東五反田２,ＪＲ山手線「五反田」徒歩6分,2010年6月,238000000.0,2LDK,71.3,11.9,東京,品川,186,23800.0,1102,ＪＲ山手線,五反田,35.6233916,139.7287997
パークタワー　グランスカイ,東京都品川区東五反田２,ＪＲ山手線「五反田」徒歩6分,2010年6月,238000000.0,2LDK,71.3,11.9,東京,品川,186,23800.0,1102,ＪＲ山手線,五反田,35.6233916,139.7287997
アップルタワー東京キャナルコート,東京都江東区東雲１,東京メトロ有楽町線「辰巳」徒歩8分,2007年2月,238000000.0,3LDK,130.07,0.0,東京,江東,226,23800.0,604,東京メトロ有楽町線,辰巳,35.6465138,139.802278
恵比寿ガーデンテラス壱番館,東京都目黒区三田１,ＪＲ山手線「恵比寿」徒歩9分,1994年7月,238000000.0,1LDK,64.05,14.88,東京,目黒,377,23800.0,1226,ＪＲ山手線,恵比寿,35.6407158,139.7147533
シティタワー大井町,東京都品川区大井１,ＪＲ京浜東北線「大井町」徒歩5分,2019年8月,239800000.0,3LDK+S（納戸）,70.35,7.49,東京,品川,76,23980.0,1125,ＪＲ京浜東北線,大井町,35.6065548,139.7326311
THE 千代田麹町 TOWER,東京都千代田区麹町３,東京メトロ有楽町線「麹町」徒歩1分,2019年1月,239800000.0,2LDK,53.37,6.4,東京,千代田,83,23980.0,1483,東京メトロ有楽町線,麹町,35.6844686,139.738698
ワールドタワーレジデンス,東京都港区浜松町２,ＪＲ山手線「浜松町」徒歩2分,2024年11月,239990000.0,2LDK,54.8,10.59,東京,港,13,23999.0,1445,ＪＲ山手線,浜松町,35.6548149,139.7556247
ワールドタワーレジデンス　,東京都港区浜松町２,ＪＲ山手線「浜松町」徒歩2分,2024年11月,239990000.0,2LDK,54.8,10.59,東京,港,13,23999.0,1445,ＪＲ山手線,浜松町,35.6548149,139.7556247
HARUMI FLAG PARK VILLAGE T…,東京都中央区晴海５,都営大江戸線「勝どき」徒歩15分,2025年9月,248000000.0,3LDK,84.04,19.65,東京,中央,3,24800.0,974,都営大江戸線,勝どき,35.6490356,139.7741538
シティタワーズ東京ベイ　セントラルタワー,東京都江東区有明２,新交通ゆりかもめ「有明」徒歩4分,2019年7月,248000000.0,2LDK,79.88,23.37,東京,江東,77,24800.0,1025,新交通ゆりかもめ,有明,35.6388488,139.7946064
ブリリアザタワー東京八重洲アベニュー◆八丁堀駅徒歩1…,東京都中央区新川２,ＪＲ山手線「東京」徒歩17分,2017年9月,250000000.0,3LDK,72.86,14.7,東京,中央,99,25000.0,1132,ＪＲ山手線,東京,35.6736061,139.7824618
シティタワーズ豊洲　ザ・ツイン,東京都江東区豊洲３,東京メトロ有楽町線「豊洲」徒歩5分,2009年2月,250000000.0,2LDK,92.72,7.39,東京,江東,202,25000.0,890,東京メトロ有楽町線,豊洲,35.6585681,139.7965242
芝浦アイランドケープタワー,東京都港区芝浦４,ＪＲ山手線「田町」徒歩13分,2006年10月,253000000.0,3LDK,104.6,15.26,東京,港,230,25300.0,798,ＪＲ山手線,田町,35.6400662,139.7460429
富久クロスコンフォートタワー,東京都新宿区富久町,東京メトロ丸ノ内線「新宿御苑前」徒歩5分,2015年4月,254000000.0,3LDK,76.29,4.13,東京,新宿,128,25400.0,1099,東京メトロ丸ノ内線,新宿御苑前,35.6934999,139.7147533
ルネッサンスタワー上野池之端,東京都台東区池之端２,東京メトロ千代田線「根津」徒歩4分,2005年1月,259800000.0,2LDK,95.81,20.26,東京,台東,251,25980.0,895,東京メトロ千代田線,根津,35.7145177,139.7671248
THE TOKYO TOWERS MID TOWER,東京都中央区勝どき６,都営大江戸線「勝どき」徒歩8分,2008年1月,268000000.0,3LDK,94.28,0.0,東京,中央,215,26800.0,938,都営大江戸線,勝どき,35.6550953,139.7735148
プリズムタワー,東京都目黒区大橋１-10-1,東急田園都市線「池尻大橋」徒歩2分,2009年4月,270000000.0,2LDK,86.02,25.56,東京,目黒,200,27000.0,1036,東急田園都市線,池尻大橋,35.6512552,139.6864988
プリズムタワー,東京都目黒区大橋１,東急田園都市線「池尻大橋」徒歩5分,2009年1月,270000000.0,2LDK,86.02,25.56,東京,目黒,203,27000.0,1036,東急田園都市線,池尻大橋,35.6510223,139.6882659
プリズムタワー,東京都目黒区大橋１,東急田園都市線「池尻大橋」徒歩2分,2009年4月,270000000.0,2LDK,86.02,25.56,東京,目黒,200,27000.0,1036,東急田園都市線,池尻大橋,35.6510223,139.6882659
MID TOWER GRAND,東京都中央区月島１,東京メトロ有楽町線「月島」徒歩2分,2020年10月,275000000.0,3LDK,77.34,11.45,東京,中央,62,27500.0,1173,東京メトロ有楽町線,月島,35.6644207,139.7824618
パークタワー芝公園,東京都港区芝３,都営三田線「芝公園」徒歩4分,2012年10月,278000000.0,2LDK,55.32,6.48,東京,港,158,27800.0,1658,都営三田線,芝公園,35.6523773,139.7466817
プラウドタワー芝浦,東京都港区芝浦４,ＪＲ山手線「田町」徒歩11分,2023年1月,278000000.0,3LDK,79.07,12.39,東京,港,35,27800.0,1160,ＪＲ山手線,田町,35.6400662,139.7460429
パークタワー西新宿,東京都新宿区西新宿５,都営大江戸線「西新宿五丁目」徒歩6分,2024年11月,285000000.0,3LDK,80.7,18.49,東京,新宿,13,28500.0,1165,都営大江戸線,西新宿五丁目,35.6948318,139.6866706
赤坂タワーレジデンスTop of the Hill,東京都港区赤坂２-17-50,東京メトロ千代田線「赤坂」徒歩4分,2008年4月,288000000.0,1LDK+S（納戸）,66.13,11.04,東京,港,212,28800.0,1437,東京メトロ千代田線,赤坂,35.6698122,139.7384585
パークタワー晴海,東京都中央区晴海２,東京メトロ有楽町線「月島」徒歩14分,2019年2月,288000000.0,4LDK,89.95,21.24,東京,中央,82,28800.0,1057,東京メトロ有楽町線,月島,35.6564518,139.7869359
